,Sentence #,Word,POS,Tag
85,Sentence: 5,comes,VBZ,O
86,Sentence: 5,on,IN,O
87,Sentence: 5,the,DT,O
88,Sentence: 5,eve,NN,O
89,Sentence: 5,of,IN,O
90,Sentence: 5,the,DT,O
91,Sentence: 5,annual,JJ,O
92,Sentence: 5,conference,NN,O
93,Sentence: 5,of,IN,O
94,Sentence: 5,Britain,NNP,B-geo
95,Sentence: 5,'s,POS,O
96,Sentence: 5,ruling,VBG,O
97,Sentence: 5,Labor,NNP,B-org
98,Sentence: 5,Party,NNP,I-org
99,Sentence: 5,in,IN,O
100,Sentence: 5,the,DT,O
101,Sentence: 5,southern,JJ,O
102,Sentence: 5,English,JJ,B-gpe
103,Sentence: 5,seaside,NN,O
104,Sentence: 5,resort,NN,O
105,Sentence: 5,of,IN,O
106,Sentence: 5,Brighton,NNP,B-geo
107,Sentence: 5,.,.,O
108,Sentence: 6,The,DT,O
109,Sentence: 6,party,NN,O
110,Sentence: 6,is,VBZ,O
111,Sentence: 6,divided,VBN,O
112,Sentence: 6,over,IN,O
113,Sentence: 6,Britain,NNP,B-gpe
114,Sentence: 6,'s,POS,O
115,Sentence: 6,participation,NN,O
116,Sentence: 6,in,IN,O
117,Sentence: 6,the,DT,O
118,Sentence: 6,Iraq,NNP,B-geo
119,Sentence: 6,conflict,NN,O
120,Sentence: 6,and,CC,O
121,Sentence: 6,the,DT,O
122,Sentence: 6,continued,JJ,O
123,Sentence: 6,deployment,NN,O
124,Sentence: 6,of,IN,O
125,Sentence: 6,"8,500",CD,O
126,Sentence: 6,British,JJ,B-gpe
127,Sentence: 6,troops,NNS,O
128,Sentence: 6,in,IN,O
129,Sentence: 6,that,DT,O
130,Sentence: 6,country,NN,O
131,Sentence: 6,.,.,O
132,Sentence: 7,The,DT,O
133,Sentence: 7,London,NNP,B-geo
134,Sentence: 7,march,NN,O
135,Sentence: 7,came,VBD,O
136,Sentence: 7,ahead,RB,O
137,Sentence: 7,of,IN,O
138,Sentence: 7,anti-war,JJ,O
139,Sentence: 7,protests,NNS,O
140,Sentence: 7,today,NN,O
141,Sentence: 7,in,IN,O
142,Sentence: 7,other,JJ,O
143,Sentence: 7,cities,NNS,O
144,Sentence: 7,",",",",O
145,Sentence: 7,including,VBG,O
146,Sentence: 7,Rome,NNP,B-geo
147,Sentence: 7,",",",",O
148,Sentence: 7,Paris,NNP,B-geo
149,Sentence: 7,",",",",O
150,Sentence: 7,and,CC,O
151,Sentence: 7,Madrid,NNP,B-geo
152,Sentence: 7,.,.,O
153,Sentence: 8,The,DT,O
154,Sentence: 8,International,NNP,B-org
155,Sentence: 8,Atomic,NNP,I-org
156,Sentence: 8,Energy,NNP,I-org
157,Sentence: 8,Agency,NNP,I-org
158,Sentence: 8,is,VBZ,O
159,Sentence: 8,to,TO,O
160,Sentence: 8,hold,VB,O
161,Sentence: 8,second,JJ,O
162,Sentence: 8,day,NN,O
163,Sentence: 8,of,IN,O
164,Sentence: 8,talks,NNS,O
165,Sentence: 8,in,IN,O
166,Sentence: 8,Vienna,NNP,B-geo
167,Sentence: 8,Wednesday,NNP,B-tim
168,Sentence: 8,on,IN,O
169,Sentence: 8,how,WRB,O
170,Sentence: 8,to,TO,O
171,Sentence: 8,respond,VB,O
172,Sentence: 8,to,TO,O
173,Sentence: 8,Iran,NNP,B-gpe
174,Sentence: 8,'s,POS,O
175,Sentence: 8,resumption,NN,O
176,Sentence: 8,of,IN,O
177,Sentence: 8,low-level,JJ,O
178,Sentence: 8,uranium,NN,O
179,Sentence: 8,conversion,NN,O
180,Sentence: 8,.,.,O
181,Sentence: 9,Iran,NNP,B-gpe
182,Sentence: 9,this,DT,O
183,Sentence: 9,week,NN,O
184,Sentence: 9,restarted,VBD,O
185,Sentence: 9,parts,NNS,O
186,Sentence: 9,of,IN,O
187,Sentence: 9,the,DT,O
188,Sentence: 9,conversion,NN,O
189,Sentence: 9,process,NN,O
190,Sentence: 9,at,IN,O
191,Sentence: 9,its,PRP$,O
192,Sentence: 9,Isfahan,NNP,B-geo
193,Sentence: 9,nuclear,JJ,O
194,Sentence: 9,plant,NN,O
195,Sentence: 9,.,.,O
196,Sentence: 10,Iranian,JJ,B-gpe
197,Sentence: 10,officials,NNS,O
198,Sentence: 10,say,VBP,O
199,Sentence: 10,they,PRP,O
200,Sentence: 10,expect,VBP,O
201,Sentence: 10,to,TO,O
202,Sentence: 10,get,VB,O
203,Sentence: 10,access,NN,O
204,Sentence: 10,to,TO,O
205,Sentence: 10,sealed,JJ,O
206,Sentence: 10,sensitive,JJ,O
207,Sentence: 10,parts,NNS,O
208,Sentence: 10,of,IN,O
209,Sentence: 10,the,DT,O
210,Sentence: 10,plant,NN,O
211,Sentence: 10,Wednesday,NNP,B-tim
212,Sentence: 10,",",",",O
213,Sentence: 10,after,IN,O
214,Sentence: 10,an,DT,O
215,Sentence: 10,IAEA,NNP,B-org
216,Sentence: 10,surveillance,NN,O
217,Sentence: 10,system,NN,O
218,Sentence: 10,begins,VBZ,O
219,Sentence: 10,functioning,VBG,O
220,Sentence: 10,.,.,O
221,Sentence: 11,The,DT,O
222,Sentence: 11,step,NN,O
223,Sentence: 11,will,MD,O
224,Sentence: 11,allow,VB,O
225,Sentence: 11,the,DT,O
226,Sentence: 11,facility,NN,O
227,Sentence: 11,to,TO,O
228,Sentence: 11,operate,VB,O
229,Sentence: 11,at,IN,O
230,Sentence: 11,full,JJ,O
231,Sentence: 11,capacity,NN,O
232,Sentence: 11,.,.,O
233,Sentence: 12,The,DT,O
234,Sentence: 12,European,NNP,B-org
235,Sentence: 12,Union,NNP,I-org
236,Sentence: 12,",",",",O
237,Sentence: 12,with,IN,O
238,Sentence: 12,U.S.,NNP,B-gpe
239,Sentence: 12,backing,NN,O
240,Sentence: 12,",",",",O
241,Sentence: 12,has,VBZ,O
242,Sentence: 12,threatened,VBN,O
243,Sentence: 12,to,TO,O
244,Sentence: 12,refer,VB,O
245,Sentence: 12,Iran,NNP,B-gpe
246,Sentence: 12,to,TO,O
247,Sentence: 12,the,DT,O
248,Sentence: 12,U.N.,NNP,B-org
249,Sentence: 12,Security,NNP,I-org
250,Sentence: 12,Council,NNP,I-org
251,Sentence: 12,",",",",O
252,Sentence: 12,which,WDT,O
253,Sentence: 12,could,MD,O
254,Sentence: 12,impose,VB,O
255,Sentence: 12,sanctions,NNS,O
256,Sentence: 12,if,IN,O
257,Sentence: 12,it,PRP,O
258,Sentence: 12,finds,VBZ,O
259,Sentence: 12,Tehran,NNP,B-gpe
260,Sentence: 12,has,VBZ,O
261,Sentence: 12,violated,VBN,O
262,Sentence: 12,the,DT,O
263,Sentence: 12,Nuclear,NNP,B-art
264,Sentence: 12,Non-Proliferation,NNP,I-art
265,Sentence: 12,treaty,NN,O
266,Sentence: 12,.,.,O
267,Sentence: 13,Iran,NNP,B-gpe
268,Sentence: 13,'s,POS,O
269,Sentence: 13,new,JJ,O
270,Sentence: 13,President,NNP,B-per
271,Sentence: 13,Mahmoud,NNP,I-per
272,Sentence: 13,Ahmadinejad,NNP,I-per
273,Sentence: 13,said,VBD,O
274,Sentence: 13,Tuesday,NNP,B-tim
275,Sentence: 13,that,IN,O
276,Sentence: 13,European,JJ,B-gpe
277,Sentence: 13,incentives,NNS,O
278,Sentence: 13,aimed,VBN,O
279,Sentence: 13,at,IN,O
280,Sentence: 13,persuading,VBG,O
281,Sentence: 13,Iran,NNP,B-gpe
282,Sentence: 13,to,TO,O
283,Sentence: 13,end,VB,O
284,Sentence: 13,its,PRP$,O
285,Sentence: 13,nuclear,JJ,O
286,Sentence: 13,fuel,NN,O
287,Sentence: 13,program,NN,O
288,Sentence: 13,are,VBP,O
289,Sentence: 13,an,DT,O
290,Sentence: 13,insult,NN,O
291,Sentence: 13,to,TO,O
292,Sentence: 13,the,DT,O
293,Sentence: 13,Iranian,JJ,B-gpe
294,Sentence: 13,nation,NN,O
295,Sentence: 13,.,.,O
296,Sentence: 14,Two,CD,O
297,Sentence: 14,Germans,NNS,B-gpe
298,Sentence: 14,and,CC,O
299,Sentence: 14,four,CD,O
300,Sentence: 14,Nigerian,JJ,B-gpe
301,Sentence: 14,oil,NN,O
302,Sentence: 14,workers,NNS,O
303,Sentence: 14,were,VBD,O
304,Sentence: 14,kidnapped,VBN,O
305,Sentence: 14,by,IN,O
306,Sentence: 14,armed,JJ,O
307,Sentence: 14,militants,NNS,O
308,Sentence: 14,during,IN,O
309,Sentence: 14,a,DT,O
310,Sentence: 14,raid,NN,O
311,Sentence: 14,on,IN,O
312,Sentence: 14,a,DT,O
313,Sentence: 14,boat,NN,O
314,Sentence: 14,in,IN,O
315,Sentence: 14,Nigeria,NNP,B-geo
316,Sentence: 14,'s,POS,O
317,Sentence: 14,southern,JJ,O
318,Sentence: 14,oil-rich,JJ,O
319,Sentence: 14,Delta,NNP,B-geo
320,Sentence: 14,region,NN,O
321,Sentence: 14,.,.,O
322,Sentence: 15,An,DT,O
323,Sentence: 15,official,NN,O
324,Sentence: 15,with,IN,O
325,Sentence: 15,the,DT,O
326,Sentence: 15,German,JJ,B-gpe
327,Sentence: 15,firm,NN,O
328,Sentence: 15,Bilfinger,NNP,B-org
329,Sentence: 15,Berger,NNP,I-org
330,Sentence: 15,",",",",O
331,Sentence: 15,Thomas,NNP,B-per
332,Sentence: 15,Horbach,NNP,I-per
333,Sentence: 15,",",",",O
334,Sentence: 15,said,VBD,O
335,Sentence: 15,the,DT,O
336,Sentence: 15,gunmen,NNS,O
337,Sentence: 15,stopped,VBD,O
338,Sentence: 15,the,DT,O
339,Sentence: 15,supply,NN,O
340,Sentence: 15,boat,NN,O
341,Sentence: 15,Wednesday,NNP,B-tim
342,Sentence: 15,as,IN,O
343,Sentence: 15,it,PRP,O
344,Sentence: 15,sailed,VBD,O
345,Sentence: 15,from,IN,O
346,Sentence: 15,Delta,NNP,B-geo
347,Sentence: 15,State,NNP,I-geo
348,Sentence: 15,to,TO,O
349,Sentence: 15,Bayelsa,NNP,B-geo
350,Sentence: 15,State,NNP,I-geo
351,Sentence: 15,to,TO,O
352,Sentence: 15,inspect,VB,O
353,Sentence: 15,an,DT,O
354,Sentence: 15,offshore,JJ,O
355,Sentence: 15,oil,NN,O
356,Sentence: 15,field,NN,O
357,Sentence: 15,owned,VBN,O
358,Sentence: 15,by,IN,O
359,Sentence: 15,Royal-Dutch,NNP,B-org
360,Sentence: 15,Shell,NNP,I-org
361,Sentence: 15,.,.,O
362,Sentence: 16,The,DT,O
363,Sentence: 16,German,JJ,B-gpe
364,Sentence: 16,firm,NN,O
365,Sentence: 16,works,VBZ,O
366,Sentence: 16,as,IN,O
367,Sentence: 16,a,DT,O
368,Sentence: 16,sub-contractor,NN,O
369,Sentence: 16,for,IN,O
370,Sentence: 16,Shell,NNP,B-org
371,Sentence: 16,.,.,O
372,Sentence: 17,Militant,JJ,O
373,Sentence: 17,groups,NNS,O
374,Sentence: 17,frequently,RB,O
375,Sentence: 17,attack,VBP,O
376,Sentence: 17,oil,NN,O
377,Sentence: 17,operations,NNS,O
378,Sentence: 17,in,IN,O
379,Sentence: 17,the,DT,O
380,Sentence: 17,Niger,NNP,B-geo
381,Sentence: 17,Delta,NNP,I-geo
382,Sentence: 17,to,TO,O
383,Sentence: 17,demand,VB,O
384,Sentence: 17,social,JJ,O
385,Sentence: 17,services,NNS,O
386,Sentence: 17,and,CC,O
387,Sentence: 17,better,JJR,O
388,Sentence: 17,job,NN,O
389,Sentence: 17,opportunities,NNS,O
390,Sentence: 17,from,IN,O
391,Sentence: 17,multinational,JJ,O
392,Sentence: 17,companies,NNS,O
393,Sentence: 17,.,.,O
394,Sentence: 18,Poor,JJ,O
395,Sentence: 18,residents,NNS,O
396,Sentence: 18,often,RB,O
397,Sentence: 18,complain,VBP,O
398,Sentence: 18,they,PRP,O
399,Sentence: 18,have,VBP,O
400,Sentence: 18,been,VBN,O
401,Sentence: 18,cheated,VBN,O
402,Sentence: 18,out,IN,O
403,Sentence: 18,of,IN,O
404,Sentence: 18,the,DT,O
405,Sentence: 18,huge,JJ,O
406,Sentence: 18,riches,NNS,O
407,Sentence: 18,extracted,VBN,O
408,Sentence: 18,from,IN,O
409,Sentence: 18,their,PRP$,O
410,Sentence: 18,tribal,JJ,O
411,Sentence: 18,lands,NNS,O
412,Sentence: 18,-,:,O
413,Sentence: 18,where,WRB,O
414,Sentence: 18,the,DT,O
415,Sentence: 18,bulk,NN,O
416,Sentence: 18,of,IN,O
417,Sentence: 18,Nigeria,NNP,B-gpe
418,Sentence: 18,'s,POS,O
419,Sentence: 18,2.3,CD,O
420,Sentence: 18,million,CD,O
421,Sentence: 18,barrels,NNS,O
422,Sentence: 18,of,IN,O
423,Sentence: 18,petroleum,NN,O
424,Sentence: 18,are,VBP,O
425,Sentence: 18,pumped,VBN,O
426,Sentence: 18,daily,RB,O
427,Sentence: 18,.,.,O
428,Sentence: 19,Suspected,JJ,O
429,Sentence: 19,Islamist,JJ,O
430,Sentence: 19,rebels,NNS,O
431,Sentence: 19,have,VBP,O
432,Sentence: 19,fired,VBN,O
433,Sentence: 19,mortar,NN,O
434,Sentence: 19,shells,NNS,O
435,Sentence: 19,at,IN,O
436,Sentence: 19,the,DT,O
437,Sentence: 19,palace,NN,O
438,Sentence: 19,used,VBN,O
439,Sentence: 19,by,IN,O
440,Sentence: 19,Somalia,NNP,B-geo
441,Sentence: 19,'s,POS,O
442,Sentence: 19,interim,JJ,O
443,Sentence: 19,President,NNP,B-per
444,Sentence: 19,Abdullahi,NNP,I-per
445,Sentence: 19,Yusuf,NNP,I-per
446,Sentence: 19,Ahmad,NNP,I-per
447,Sentence: 19,.,.,O
448,Sentence: 20,It,PRP,O
449,Sentence: 20,was,VBD,O
450,Sentence: 20,not,RB,O
451,Sentence: 20,immediately,RB,O
452,Sentence: 20,clear,JJ,O
453,Sentence: 20,if,IN,O
454,Sentence: 20,the,DT,O
455,Sentence: 20,president,NN,O
456,Sentence: 20,was,VBD,O
457,Sentence: 20,in,IN,O
458,Sentence: 20,the,DT,O
459,Sentence: 20,palace,NN,O
460,Sentence: 20,in,IN,O
461,Sentence: 20,Mogadishu,NNP,B-geo
462,Sentence: 20,when,WRB,O
463,Sentence: 20,the,DT,O
464,Sentence: 20,attack,NN,O
465,Sentence: 20,occurred,VBD,O
466,Sentence: 20,or,CC,O
467,Sentence: 20,if,IN,O
468,Sentence: 20,anyone,DT,O
469,Sentence: 20,was,VBD,O
470,Sentence: 20,hurt,VBN,O
471,Sentence: 20,.,.,O
472,Sentence: 21,Local,JJ,O
473,Sentence: 21,news,NN,O
474,Sentence: 21,reports,NNS,O
475,Sentence: 21,said,VBD,O
476,Sentence: 21,at,IN,O
477,Sentence: 21,least,JJS,O
478,Sentence: 21,five,CD,O
479,Sentence: 21,mortar,NN,O
480,Sentence: 21,shells,NNS,O
481,Sentence: 21,hit,VBD,O
482,Sentence: 21,the,DT,O
483,Sentence: 21,palace,NN,O
484,Sentence: 21,compound,NN,O
485,Sentence: 21,and,CC,O
486,Sentence: 21,other,JJ,O
487,Sentence: 21,mortars,NNS,O
488,Sentence: 21,were,VBD,O
489,Sentence: 21,fired,VBN,O
490,Sentence: 21,elsewhere,RB,O
491,Sentence: 21,in,IN,O
492,Sentence: 21,Mogadishu,NNP,B-geo
493,Sentence: 21,Wednesday,NNP,B-tim
494,Sentence: 21,.,.,O
495,Sentence: 22,The,DT,O
496,Sentence: 22,attacks,NNS,O
497,Sentence: 22,occurred,VBD,O
498,Sentence: 22,after,IN,O
499,Sentence: 22,the,DT,O
500,Sentence: 22,government,NN,O
501,Sentence: 22,said,VBD,O
502,Sentence: 22,it,PRP,O
503,Sentence: 22,will,MD,O
504,Sentence: 22,go,VB,O
505,Sentence: 22,ahead,RB,O
506,Sentence: 22,with,IN,O
507,Sentence: 22,a,DT,O
508,Sentence: 22,reconciliation,NN,O
509,Sentence: 22,conference,NN,O
510,Sentence: 22,to,TO,O
511,Sentence: 22,which,WDT,O
512,Sentence: 22,more,JJR,O
513,Sentence: 22,than,IN,O
514,Sentence: 22,"1,300",CD,O
515,Sentence: 22,Somali,JJ,B-gpe
516,Sentence: 22,elders,NNS,O
517,Sentence: 22,",",",",O
518,Sentence: 22,warlords,NNS,O
519,Sentence: 22,and,CC,O
520,Sentence: 22,politicians,NNS,O
521,Sentence: 22,are,VBP,O
522,Sentence: 22,invited,VBN,O
523,Sentence: 22,.,.,O
524,Sentence: 23,Iraqi,JJ,B-gpe
525,Sentence: 23,military,JJ,O
526,Sentence: 23,officials,NNS,O
527,Sentence: 23,say,VBP,O
528,Sentence: 23,tanks,NNS,O
529,Sentence: 23,and,CC,O
530,Sentence: 23,troops,NNS,O
531,Sentence: 23,have,VBP,O
532,Sentence: 23,arrived,VBN,O
533,Sentence: 23,in,IN,O
534,Sentence: 23,the,DT,O
535,Sentence: 23,northern,JJ,O
536,Sentence: 23,city,NN,O
537,Sentence: 23,Mosul,NNP,B-geo
538,Sentence: 23,for,IN,O
539,Sentence: 23,a,DT,O
540,Sentence: 23,new,JJ,O
541,Sentence: 23,offensive,NN,O
542,Sentence: 23,against,IN,O
543,Sentence: 23,al,NNP,B-org
544,Sentence: 23,Qaida,NNP,I-org
545,Sentence: 23,in,IN,I-org
546,Sentence: 23,Iraq,NNP,I-org
547,Sentence: 23,fighters,NNS,O
548,Sentence: 23,.,.,O
549,Sentence: 24,Officials,NNS,O
550,Sentence: 24,will,MD,O
551,Sentence: 24,not,RB,O
552,Sentence: 24,say,VB,O
553,Sentence: 24,how,WRB,O
554,Sentence: 24,many,JJ,O
555,Sentence: 24,troops,NNS,O
556,Sentence: 24,have,VBP,O
557,Sentence: 24,arrived,VBN,O
558,Sentence: 24,in,IN,O
559,Sentence: 24,the,DT,O
560,Sentence: 24,Sunni,NNP,B-geo
561,Sentence: 24,Arab,NNP,I-geo
562,Sentence: 24,and,CC,O
563,Sentence: 24,Kurdish,NNP,B-geo
564,Sentence: 24,city,NN,O
565,Sentence: 24,",",",",O
566,Sentence: 24,where,WRB,O
567,Sentence: 24,bombings,NNS,O
568,Sentence: 24,last,JJ,O
569,Sentence: 24,week,NN,O
570,Sentence: 24,killed,VBD,O
571,Sentence: 24,at,IN,O
572,Sentence: 24,least,JJS,O
573,Sentence: 24,34,CD,O
574,Sentence: 24,people,NNS,O
575,Sentence: 24,and,CC,O
576,Sentence: 24,wounded,VBD,O
577,Sentence: 24,more,JJR,O
578,Sentence: 24,than,IN,O
579,Sentence: 24,200,CD,O
580,Sentence: 24,.,.,O
581,Sentence: 25,U.S.,NNP,B-gpe
582,Sentence: 25,commanders,NNS,O
583,Sentence: 25,have,VBP,O
584,Sentence: 25,not,RB,O
585,Sentence: 25,explained,VBN,O
586,Sentence: 25,how,WRB,O
587,Sentence: 25,American,JJ,B-gpe
588,Sentence: 25,forces,NNS,O
589,Sentence: 25,will,MD,O
590,Sentence: 25,participate,VB,O
591,Sentence: 25,in,IN,O
592,Sentence: 25,the,DT,O
593,Sentence: 25,offensive,NN,O
594,Sentence: 25,.,.,O
595,Sentence: 26,Officials,NNS,O
596,Sentence: 26,say,VBP,O
597,Sentence: 26,al,NNP,B-org
598,Sentence: 26,Qaida,NNP,I-org
599,Sentence: 26,in,IN,I-org
600,Sentence: 26,Iraq,NNP,I-org
601,Sentence: 26,fighters,NNS,O
602,Sentence: 26,have,VBP,O
603,Sentence: 26,fled,VBN,O
604,Sentence: 26,successful,JJ,O
605,Sentence: 26,campaigns,NNS,O
606,Sentence: 26,against,IN,O
607,Sentence: 26,them,PRP,O
608,Sentence: 26,in,IN,O
609,Sentence: 26,Anbar,NNP,B-geo
610,Sentence: 26,province,NN,O
611,Sentence: 26,and,CC,O
612,Sentence: 26,Baghdad,NNP,B-geo
613,Sentence: 26,to,TO,O
614,Sentence: 26,other,JJ,O
615,Sentence: 26,northern,JJ,O
616,Sentence: 26,provinces,NNS,O
617,Sentence: 26,.,.,O
618,Sentence: 27,Mosul,NNP,B-geo
619,Sentence: 27,is,VBZ,O
620,Sentence: 27,the,DT,O
621,Sentence: 27,largest,JJS,O
622,Sentence: 27,city,NN,O
623,Sentence: 27,north,NN,O
624,Sentence: 27,of,IN,O
625,Sentence: 27,Baghdad,NNP,B-geo
626,Sentence: 27,and,CC,O
627,Sentence: 27,has,VBZ,O
628,Sentence: 27,long,RB,O
629,Sentence: 27,been,VBN,O
630,Sentence: 27,a,DT,O
631,Sentence: 27,stronghold,NN,O
632,Sentence: 27,of,IN,O
633,Sentence: 27,Sunni,NNP,B-org
634,Sentence: 27,militant,JJ,O
635,Sentence: 27,fighters,NNS,O
636,Sentence: 27,.,.,O
637,Sentence: 28,In,IN,O
638,Sentence: 28,other,JJ,O
639,Sentence: 28,violence,NN,O
640,Sentence: 28,",",",",O
641,Sentence: 28,U.S.,NNP,B-gpe
642,Sentence: 28,officials,NNS,O
643,Sentence: 28,said,VBD,O
644,Sentence: 28,one,CD,O
645,Sentence: 28,American,JJ,B-gpe
646,Sentence: 28,soldier,NN,O
647,Sentence: 28,was,VBD,O
648,Sentence: 28,killed,VBN,O
649,Sentence: 28,while,IN,O
650,Sentence: 28,on,IN,O
651,Sentence: 28,patrol,NN,O
652,Sentence: 28,in,IN,O
653,Sentence: 28,Baghdad,NNP,B-geo
654,Sentence: 28,Sunday,NNP,B-tim
655,Sentence: 28,.,.,O
656,Sentence: 29,Egyptian,JJ,B-gpe
657,Sentence: 29,police,NNS,O
658,Sentence: 29,have,VBP,O
659,Sentence: 29,arrested,VBN,O
660,Sentence: 29,at,IN,O
661,Sentence: 29,least,JJS,O
662,Sentence: 29,16,CD,O
663,Sentence: 29,members,NNS,O
664,Sentence: 29,of,IN,O
665,Sentence: 29,the,DT,O
666,Sentence: 29,opposition,NN,O
667,Sentence: 29,Muslim,NNP,B-org
668,Sentence: 29,Brotherhood,NNP,I-org
669,Sentence: 29,as,IN,O
670,Sentence: 29,parts,NNS,O
671,Sentence: 29,of,IN,O
672,Sentence: 29,the,DT,O
673,Sentence: 29,country,NN,O
674,Sentence: 29,prepare,VB,O
675,Sentence: 29,for,IN,O
676,Sentence: 29,parliamentary,JJ,O
677,Sentence: 29,runoff,NN,O
678,Sentence: 29,elections,NNS,O
679,Sentence: 29,Saturday,NNP,B-tim
680,Sentence: 29,.,.,O
681,Sentence: 30,The,DT,O
682,Sentence: 30,arrests,NNS,O
683,Sentence: 30,occurred,VBD,O
684,Sentence: 30,Friday,NNP,B-tim
685,Sentence: 30,in,IN,O
686,Sentence: 30,Alexandria,NNP,B-geo
687,Sentence: 30,.,.,O
688,Sentence: 31,A,DT,O
689,Sentence: 31,spokesman,NN,O
690,Sentence: 31,for,IN,O
691,Sentence: 31,the,DT,O
692,Sentence: 31,Brotherhood,NNP,B-org
693,Sentence: 31,said,VBD,O
694,Sentence: 31,the,DT,O
695,Sentence: 31,arrests,NNS,O
696,Sentence: 31,are,VBP,O
697,Sentence: 31,an,DT,O
698,Sentence: 31,attempt,NN,O
699,Sentence: 31,to,TO,O
700,Sentence: 31,cut,VB,O
701,Sentence: 31,the,DT,O
702,Sentence: 31,Brotherhood,NNP,B-org
703,Sentence: 31,off,RB,O
704,Sentence: 31,from,IN,O
705,Sentence: 31,its,PRP$,O
706,Sentence: 31,supporters,NNS,O
707,Sentence: 31,and,CC,O
708,Sentence: 31,punishment,NN,O
709,Sentence: 31,for,IN,O
710,Sentence: 31,winning,VBG,O
711,Sentence: 31,parliamentary,JJ,O
712,Sentence: 31,seats,NNS,O
713,Sentence: 31,in,IN,O
714,Sentence: 31,earlier,JJR,O
715,Sentence: 31,elections,NNS,O
716,Sentence: 31,.,.,O
717,Sentence: 32,The,DT,O
718,Sentence: 32,Muslim,NNP,B-org
719,Sentence: 32,Brotherhood,NNP,I-org
720,Sentence: 32,has,VBZ,O
721,Sentence: 32,tripled,VBN,O
722,Sentence: 32,its,PRP$,O
723,Sentence: 32,strength,NN,O
724,Sentence: 32,in,IN,O
725,Sentence: 32,parliament,NN,O
726,Sentence: 32,in,IN,O
727,Sentence: 32,recent,JJ,O
728,Sentence: 32,elections,NNS,O
729,Sentence: 32,",",",",O
730,Sentence: 32,raising,VBG,O
731,Sentence: 32,the,DT,O
732,Sentence: 32,party,NN,O
733,Sentence: 32,'s,POS,O
734,Sentence: 32,total,NN,O
735,Sentence: 32,to,TO,O
736,Sentence: 32,47,CD,O
737,Sentence: 32,seats,NNS,O
738,Sentence: 32,.,.,O
739,Sentence: 33,In,IN,O
740,Sentence: 33,Saturday,NNP,B-tim
741,Sentence: 33,'s,POS,O
742,Sentence: 33,elections,NNS,O
