news,type
"Global blogger action day called
 
 The global web blog community is being called into action to lend support to two imprisoned Iranian bloggers.
 
 The month-old Committee to Protect Bloggers' is asking those with blogs to dedicate their sites on 22 February to the ""Free Mojtaba and Arash Day"". Arash Sigarchi and Mojtaba Saminejad are both in prison in Iran. Blogs are free sites through which people publish thoughts and opinions. Iranian authorities have been clamping down on prominent sites for some time. ""I hope this day will focus people,"" Curt Hopkins, director of the Committee, told the BBC News website.
 
 The group has a list of actions which it says bloggers can take, including writing to local Iranian embassies. The Committee has deemed Tuesday ""Free Mojtaba and Arash Day"" as part of its first campaign. It is calling on the blogsphere - the name for the worldwide community of bloggers - to do what it can to help raise awareness of the plight of Mojtaba and Arash as well as other ""cyber-dissidents"". ""If you have a blog, the least you could do is put nothing on that blog except 'Free Mojtaba and Arash Day',"" said Mr Hopkins. ""That would mean you could see that phrase 7.1 million times. That alone will shine some light on the situation. ""If you don't have one, find one dedicated to that - it takes about 30 seconds."" Technorati, a blog search engine, tracks about six million blogs and says that more than 12,000 are added daily. A blog is created every 5.8 seconds, according to a US research think-tank.
 
 The Committee to Protect Bloggers was started by US blogger Curt Hopkins and counts fired flight attendant blogger Ellen Simonetti as a deputy director. She has since started the International Bloggers' Bill of Rights, a global petition to protect bloggers at work. Although not the only website committed to human rights issues by any means, it aims to be the hub or organisation, information and support for bloggers in particular and their rights to freedom of speech.
 
 The Committee, although only a month old, aims to be the focal point for blogger action on similar issues in the future, and will operate as a non-for-profit organisation. ""Blogging is in this weird no man's land. People think of it as being one thing or another depending on their point of view,"" said Mr Hopkins. ""Some think of themselves as pundits, kind of like journalists, and some like me have a private blog which is just a publishing platform. ""But they do not have a constituency and are out there in the cold.""
 
 It is not just human rights issues in countries which have a track record of restricting what is published in the media that is of concern to bloggers. The question of bloggers and what rights they have to say what they want on their sites is a thorny one and has received much press attention recently. High profile cases in which employees have been sacked for what they have said on their personal, and often anonymous blogs, have highlighted the muddy situation that the blogsphere is currently in.
 
 ""This is a big messy argument,"" explained Mr Hopkins. He added: ""It is just such a new way of doing business, there will be clamp downs."" But the way these issues get tested is through the courts which, said Mr Hopkins, ""is part of the whole messy conversation."" ""If you haven't already got bloggers in your company, you will have them tomorrow - and if you don't have a blogger policy now you had better start looking at having one. Mr Hopkins said that the blogsphere - which is doubling every five months - was powerful because it takes so little time and expertise to create a blog. ""Everyone does this - mums, radicals, conservatives,"" he said. Many companies offer easy-to-use services to create a blog and publish it in minutes to a global community. ""That is the essential difference. What I call 'templating software' gives every single person on Earth the chance to have one. ""You don't even have to have your own computer.""
",tech
"Stormy year for property insurers
 
 A string of storms, typhoons and earthquakes has made 2004 the most expensive year on record for property insurers, according to Swiss Re.
 
 The world's second biggest insurer said disasters around the globe have seen property claims reach $42bn (£21.5bn). ""2004 reinforces the trend towards higher losses,"" said Swiss Re. Tightly packed populations in the areas involved in natural and man-made disasters were to partly to blame for the rise in claims, it said. Some 95% of insurance claims were for natural catastrophes, with the rest attributed to made-made events.
 
 The largest claims came from the US, which was struck by four hurricanes, and Japan, which suffered the highest concentration of typhoons for decades plus a major earthquake.
 
 Europe suffered fewer natural disasters, but 191 people were killed and more than 2,000 injured in March after the terrorist attack on train stations in Madrid. The damages claimed in 2004 eclipsed previous years, including 2001 when the 11 September attacks pushed claims up to $37bn. Swiss Re said it had registered about 300 natural and man-made disasters around the world in 2004. Twenty-one thousand people lost their lives in the catastrophes with a cost to the global economy of around $105bn (£54bn).
",business
"Optimism remains over UK housing
 
 The UK property market remains robust despite the recent slowdown, according to mortgage lender Bradford & Bingley and housebuilder George Wimpey.
 
 B&B said the buy-to-let market - in which the bank is a major player - would continue to grow much faster than the wider mortgage market. The comments came as it reported a 6% rise in profits to £280.2m ($532m). Wimpey reported a 19% rise in profits to £450.7m and said recent new home reservations were better than expected.
 
 Recent housing market surveys have indicated that the UK property market has cooled in recent months after several years of rapid growth. Last week, figures from the Council of Mortgage Lenders (CML) indicated that the popularity of buy-to-let mortgages - a key phenomenon of the housing boom - could be waning.
 
 But B&B - which has a 22% share of the UK buy-to-let mortgage market - said that while rates of growth were moderating, the sector ""continues to grow at a rate considerably above that of the whole mortgage market"". Overall, B&B said that ""housing market fundamentals remain strong"". ""Interest rates and unemployment are both likely to remain at historically low levels, real household incomes should continue to grow and housing demand is likely to outstrip supply into the medium-term."" Despite the upbeat tone, shares in B&B were down more than 4% at 325.5p in morning trade as analysts worried over future earnings growth.
 
 Wimpey's profit figures came in at the top of expectations, with the numbers helped by buoyant sales in the US offsetting a slight slowdown in the UK. Wimpey said the UK housing market had proved ""challenging"" last year. ""By late summer, the market in general had slowed sharply across the country and showed no real improvement during the autumn,"" it added. However, the first seven weeks of this year had produced promising signs, Wimpey said. ""Visitor levels and interest in this period have been encouraging and reservations have been at the stronger end of our expectations."" Shares in Wimpey were up 6% at 458.5p in morning trade.
",business
"SBC plans post-takeover job cuts
 
 US phone company SBC Communications said it expects to cut around 12,800 jobs following its $16bn (£8.5bn) takeover of former parent AT&T.
 
 SBC said 5,125 positions would go as a result of network efficiencies. Another 1,700 will go from its sales department, 3,400 from business operations and 2,600 across legal, advertising and public relations. SBC currently employs 163,000 people while AT&T employs 47,000. The takeover was announced on Monday. The deal will be financed with $15bn of shares as well as a $1bn special dividend paid to AT&T shareholders.
 
 It effectively marks the end of AT&T, which was founded in 1875 by telephone pioneer Alexander Graham Bell and is one of the US's best-known companies. SBC and AT&T said estimated cost savings of at least $2bn from 2008 were a main driver for the merger. AT&T is a long-distance telecoms firm, while SBC is mainly focused on the local market in the western US. Both also have data network businesses. The takeover is subject to approval by AT&T's shareholders and regulators. The companies said they expected to complete the agreement during the first half of 2006.
",business
"Singapore growth at 8.1% in 2004
 
 Singapore's economy grew by 8.1% in 2004, its best performance since 2000, figures from the trade ministry show.
 
 The advance, the second-fastest in Asia after China, was led by growth of 13.1% in the key manufacturing sector. However, a slower-than-expected fourth quarter points to more modest growth for the trade-driven economy in 2005 as global technology demand falls back. Slowdowns in the US and China could hit electronics exports, while the tsunami disaster may effect the service sector.
 
 Economic growth is set to halve in Singapore this year to between 3% and 5%. In the fourth quarter, the city state's gross domestic product (GDP) rose at an annual rate of 2.4%. That was up from the third quarter, when it fell 3.0%, but was well below analyst forecasts. ""I am surprised at the weak fourth quarter number. The main drag came from electronics,"" said Lian Chia Liang, economist at JP Morgan Chase. Singapore's economy had contracted over the summer, weighed down by soaring oil prices. The economy's poor performance in the July to September period followed four consecutive quarters of double-digit growth as Singapore bounced back strongly from the effects of the deadly Sars virus in 2003.
",business
"Parties' plans for council tax
 
 Anger at council tax rises spilled over into mass protests in 2003, when the average English bill rose 12.9%.
 
 Pensioners' protests spread - some marched, others simply refused to pay the increase. Some, such as 83-year-old Elizabeth Winkfield, said they would rather go to jail. The Audit Commission found the whole local government finance system was ""fundamentally flawed"" and all three of the main parties have said the system has to change.
 
 Labour says it wants to retain the property-based tax but reform it to make it fairer and says there is scope for councils to become more efficient. They say they are already helping pensioners with council tax bills, with a £100 lump sum for the over-70s and last year the government capped some local councils' budgets to keep demands down. Deputy Prime Minister John Prescott has said the current system is not sustainable in the long term and said there would be ""radical reform"". The party says this year's increases will be the lowest in a decade. A report last year looked at increasing the number of council tax bands and other forms of local taxation, such as reformed business rates, although no decisions have been made. An independent inquiry into its findings, the Lyons review, is due to report back at the end of 2005.
 
 The Tories have promised a reduction on bills for pensioners, who they say have been hardest hit by year-on-year increases in council tax. They say they can save £4bn on ""government waste"", of which £1.3bn could be used to cut pensioners' bills by an average of £340. It would not be means tested, say the Tories, because that would create more bureaucracy and could discourage people from saving for their retirement. Instead households where council tax payers are over 65 would get a rebate covering half their bill, up to a maximum of £500. The Tories also say they are suspicious about any proposals to revalue homes - currently graded according to their value in 1991 - because they believe seven million of homes could move up a band.
 
 The Liberal Democrats want to do away with the council tax altogether and switch to a local income tax of the kind seen in the USA, Norway and Switzerland. The rate would be set locally, but administered by the Inland Revenue which they say would save at least £300m. They say the council tax is the most unpopular and most unfair tax in Britain, because it puts a ""ceiling"" on what the richest pay. The party says it would aim for a £5,000 tax-free personal allowance, or a £7,000 allowance for the over-65s. After that income would be taxed up to £100,000. The Lib Dems say their plan is fairer, more efficient, has already been tested abroad and offers more accountability.
",politics
"Aviator and Vera take Bafta glory
 
 Hollywood blockbuster The Aviator and low-budget British movie Vera Drake have shared the main honours at the 2005 Bafta film awards. The Aviator was declared best film, and its star Cate Blanchett won best supporting actress. But Vera Drake scored best director for Mike Leigh while Imelda Staunton took the hotly contested best actress award. Jamie Foxx won best actor for Ray, while British actor Clive Owen took best supporting actor for Closer. The two actors have repeated their success at the Golden Globes in January. But big British hope Kate Winslet walked away empty-handed on Saturday despite two nominations for best actress. Celebrating his win, the Oscar-nominated Owen told reporters: ""The whole award season is new to me because I haven't won anything before. All of that is a bit overwhelming."" Blanchett, who won a Bafta in 1999 for her leading role in Elizabeth, said: ""Winning a Bafta means an enormous amount to me."" She thanked the woman she played, Katharine Hepburn, for paving the way for women to work in film. ""Thank you very much, I'm sure you're pleased, although you're not able to see this,"" she said.
 
 The Aviator took four awards in all, also collecting best make-up and hair and production design, while Vera Drake also scooped best costume design. Staunton, who is up for an Oscar for her role in Vera Drake, arrived wearing a green silk and chiffon beaded evening dress. ""Thank you very much. I'm so thrilled and so grateful and I'm delighted that the success of Vera Drake has boosted sales of hair nets and pinnies, which is very good,"" she said on accepting her award. Her director Leigh, who beat Martin Scorsese to the best director award, told the audience: ""We always say it was a surprise and sometimes I've said it and not meant it. On this occasion, given the other names, it's a real surprise and an extraordinary honour. ""It's an immense privilege to have been allowed the freedom to make as uncompromising a film as I think Vera Drake is and an epic with such a small budget."" Best actor Foxx could not make the ceremony, but actress Helen Mirren read out his acceptance speech. ""I'm honoured and proud to receive this Bafta. I'd like to thank the late Ray Charles himself."" He apologised for not being in London, joking: ""Unfortunately I'm stuck driving a car in LA at gunpoint and I can't get away."" DiCaprio, who lost out on the best actor Bafta to Foxx, will face him again at the Academy Awards in two weeks' time.
 
 ""It's the first time I've come to the Baftas because it's the first time I've been nominated,"" he told reporters on the red carpet. ""I've appreciated British cinema for a long time and to be recognised like this is a special honour."" Other winners included The Motorcycle Diaries which took best foreign film and best music, while Eternal Sunshine of the Spotless Mind won best original screenplay and best editing. Best British film was My Summer of Love, the story of two young women and their developing relationship, while Foxx's movie Ray, a bio-pic of late singer Ray Charles, also took best sound. Harry Potter and the Prisoner of Azkaban won the Orange Film Of The Year, voted for by the public.
 
 The Orange British Academy Film Awards are being shown on BBC One from 2010 GMT.
",entertainment
"Screensaver tackles spam websites
 
 Net users are getting the chance to fight back against spam websites
 
 Internet portal Lycos has made a screensaver that endlessly requests data from sites that sell the goods and services mentioned in spam e-mail. Lycos hopes it will make the monthly bandwidth bills of spammers soar by keeping their servers running flat out. The net firm estimates that if enough people sign up and download the tool, spammers could end up paying to send out terabytes of data.
 
 ""We've never really solved the big problem of spam which is that its so damn cheap and easy to do,"" said Malte Pollmann, spokesman for Lycos Europe. ""In the past we have built up the spam filtering systems for our users,"" he said, ""but now we are going to go one step further.""
 
 ""We've found a way to make it much higher cost for spammers by putting a load on their servers."" By getting thousands of people to download and use the screensaver, Lycos hopes to get spamming websites constantly running at almost full capacity. Mr Pollmann said there was no intention to stop the spam websites working by subjecting them with too much data to cope with. He said the screensaver had been carefully written to ensure that the amount of traffic it generated from each user did not overload the web. ""Every single user will contribute three to four megabytes per day,"" he said, ""about one MP3 file."" But, he said, if enough people sign up spamming websites could be force to pay for gigabytes of traffic every single day. Lycos did not want to use e-mail to fight back, said Mr Pollmann. ""That would be fighting one bad thing with another bad thing,"" he said.
 
 The sites being targeted are those mentioned in spam e-mail messages and which sell the goods and services on offer.
 
 Typically these sites are different to those that used to send out spam e-mail and they typically only get a few thousand visitors per day. The list of sites that the screensaver will target is taken from real-time blacklists generated by organisations such as Spamcop. To limit the chance of mistakes being made, Lycos is using people to ensure that the sites are selling spam goods. As these sites rarely use advertising to offset hosting costs, the burden of high-bandwidth bills could make spam too expensive, said Mr Pollmann. Sites will also slow down under the weight of data requests. Early results show that response times of some sites have deteriorated by up to 85%. Users do not have to be registered users of Lycos to download and use the screensaver. While working, the screensaver shows the websites that are being bothered with requests for data. The screensaver is due to be launched across Europe on 1 December and before now has only been trialled in Sweden. Despite the soft launch, Mr Pollmann said that the screensaver had been downloaded more than 20,000 times in the last four days. ""There's a huge user demand to not only filter spam day-by-day but to do something more,"" he said ""Before now users have never had the chance to be a bit more offensive.""
",tech
"Crossrail link 'to get go-ahead'
 
 The £10bn Crossrail transport plan, backed by business groups, is to get the go-ahead this month, according to The Mail on Sunday.
 
 It says the UK Treasury has allocated £7.5bn ($13.99bn) for the project and that talks with business groups on raising the rest will begin shortly. The much delayed Crossrail Link Bill would provide for a fast cross-London rail link. The paper says it will go before the House of Commons on 23 February.
 
 A second reading could follow on 16 or 17 March. ""We've always said we are going to introduce a hybrid Bill for Crossrail in the Spring and this remains the case,"" the Department for Transport said on Sunday. Jeremy de Souza, a spokesman for Crossrail, said on Sunday he could not confirm whether the Treasury was planning to invest £7.5bn or when the bill would go before Parliament.
 
 However, he said some impetus may have been provided by the proximity of an election.
 
 The new line would go out as far as Maidenhead, Berkshire, to the west of London, and link Heathrow to Canary Wharf via the City. Heathrow to the City would take 40 minutes, dramatically cutting journey times for business travellers, and reducing overcrowding on the tube. The line has the support of the Mayor of London, Ken Livingstone, business groups and the government, but there have been three years of arguments over how it should be funded. The Mail on Sunday's Financial Mail said the £7.5bn of Treasury money was earmarked for spending in £2.5bn instalments in 2010, 2011 and 2012.
",business
"UK set to cut back on embassies
 
 Nine overseas embassies and high commissions will close in an effort to save money, UK Foreign Secretary Jack Straw has announced.
 
 The Bahamas, East Timor, Madagascar and Swaziland are among the areas affected by the biggest shake-up for the diplomatic service for years. Other diplomatic posts are being turned over to local staff. Mr Straw said the move would save £6m a year to free up cash for priorities such as fighting terrorism.
 
 Honorary consuls will be appointed in some of the areas affected by the embassy closures. Nine consulates or consulates general will also be closed, mostly in Europe and America.
 
 They include Dallas in the US, Bordeaux in France and Oporto in Portugal, with local staff replacing UK representation in another 11. The changes are due to be put in place before the end of 2006, with most savings made from cutting staff and running costs. Some of the money will have to be used to fund redundancy payments. In a written statement, Mr Straw said: ""The savings made will help to underpin higher priority work in line with the Foreign and Commonwealth Office's strategic priorities, including counter- proliferation, counter-terrorism, energy and climate change. ""Some of the savings will also be redeployed to strategic priority work within certain regions where we are closing posts. ""In Africa, for instance, we plan to create new jobs to cover these issues across the region, with a new post in Nairobi to help support our work on climate change, one in Nigeria to cover energy and one in Pretoria to cover regional issues more generally as well as covering Maseru and Mbabane.""
 
 The Foreign Office currently has about 6,100 UK-based staff. It has opened major new missions on Baghdad and Basra in Iraq, Kabul in Afghanistan and Pyongyang in North Korea since 1997 in response to what the government says are changing needs. Since 1997 10 overseas posts have been closed - excluding Wednesday's cuts - but 18 new embassies or consulates have been opened. The shake-up is aimed at helping making £86m in efficiency savings between 2005 and 2008. The chancellor has demanded all government departments make similar savings. Shadow foreign secretary Michael Ancram said there was a constant need to ensure value for money from foreign missions. ""But the government must give a far clearer reason for making the dramatic changes it has announced and must show that British commercial interests and the interests of Britons abroad will not be adversely affected,"" he said.
",politics
"Qatar and Shell in $6bn gas deal
 
 Shell has signed a $6bn (£3.12bn) deal with the Middle Eastern sheikhdom of Qatar to supply liquid natural gas (LNG) to North America and Europe.
 
 The UK-Dutch group will own 30% of the project, with Qatar's state oil firm owning the rest. The agreement is the latest in a string of deals reached by Qatar, which is trying to make itself a regional leader in natural gas. US oil giant ExxonMobil signed up for a $12.8bn deal earlier on Sunday. France's Total is expected to join the ExxonMobil scheme, dubbed Qatargas-2, on Monday, taking 5 million tonnes of LNG a year. ExxonMobil will be taking some 15 million tonnes each year for 25 years from the end of 2007 under the deal. Shell's agreement, under the name Qatargas-4, foresees the building of new facilities to handle 1.4 billion cubic feet of gas, and 7.8 million tonnes of LNG each year from 2011 onwards.
",business
"Umaga ready for ""fearsome"" Lions
 
 All Blacks captain Tama Umaga has warned the British and Irish Lions will be his most fearsome opponents yet ahead of their summer tour.
 
 But Umaga, in England for Saturday's IRB Rugby Aid match, also backed New Zealand to win the three-Test series against the Lions. He told BBC Sport: ""It's potentially the most fearsome line-up I've ever come up against. They're awesome. ""But I'd back us all the way to beat them when they come over."" Lions boss Sir Clive Woodward is set to announce his squad for the June-July tour next month.
 
 When Woodward was appointed last year, it was widely believed he would rely heavily on his former England players. But Umaga said: ""He'd be hard pushed to do that now considering the shape of the Six Nations. ""Don't get me wrong, England have got a lot of talented guys and I'm sure there are some of them who'll make the Lions Test XV. ""But you can't disguise Wales and Ireland in particular. Some of the tries they've scored have been great. I'll admit it'll be fairly awesome lining up against the likes of Brian O'Driscoll.""
 
 Umaga will meet O'Driscoll in Saturday's Rugby Aid match at Twickenham, with the Irish captain leading the Northern Hemisphere side. O'Driscoll is among a host of players in the Northern Hemisphere squad, coached by Woodward, that are tipped for Lions call-ups. ""It'll be good for us to get an early idea of some of these guys, although a lot can change between now and June,"" Umaga said. The 31-year-old admitted interest in the Lions tour was immense, calling it ""the biggest thing to hit New Zealand since Lord of the Rings"". He added: ""As players, it's enough for us to be driven by the rarity of playing the Lions. In fact, it's not just us All Blacks - it's the talk of the country.""
 
 Umaga admitted the fear of injury weighed on his mind ahead of Saturday's charity game, which features a host of big names including George Gregan, Andrew Mehrtens and Chris Latham. But he admitted the value of the cause - proceeds of the match will go to aiding victims of the tsunami - easily won him over. ""The second [Southern Hemisphere coach] Rod Macqueen made the approach, I didn't hesitate. It was great when New Zealand Rugby then gave me the all clear. ""Thankfully I didn't know anyone that was involved in the tragedy of the tsunami but you couldn't miss all the horrific reports on the news. ""There are so many people that were affected, are still affected and will be affected for a long time. It's just good to know we can do something minor to help out.""
 
 - The match will be televised on BBC One at 1400 GMT on Saturday.
",sport
"Freeze on anti-spam campaign
 
 A campaign by Lycos Europe to target spam-related websites appears to have been put on hold.
 
 Earlier this week the company released a screensaver that bombarded the sites with data to try to bump up the running costs of the websites. But the site hosting the screensaver now displays a pink graphic and the words ""Stay tuned"". No one at Lycos was available for comment on latest developments in its controversial anti-spam campaign.
 
 Lycos Europe's ""Make love not spam"" campaign was intended as a way for users to fight back against the mountain of junk mail flooding inboxes. People were encouraged to download the screensaver which, when their PC was idle, would then send lots of data to sites that peddle the goods and services mentioned in spam messages. Lycos said the idea was to get the spam sites running at 95% capacity and generate big bandwidth bills for the spammers behind the sites. But the plan has proved controversial.
 
 Monitoring firm Netcraft analysed response times for some of the sites targeted by the screensaver and found that a number were completely knocked offline.
 
 The downing of the sites could dent Lycos claims that what it is doing does not amount to a distributed denial of service attack. In such attacks thousands of computers bombard sites with data in an attempt to overwhelm them. Laws in many countries do not explicitly outlaw such attacks but many nations are re-drafting computer use laws to make them specific offences. Lycos Europe now appears to have put the plan on hold. The site hosting the screensaver currently shows a holding page, with the words, ""Stay tuned"". The numerical internet address of the site has also changed. This is likely to be in response to spammers who have reportedly redirected traffic from their sites back to the Lycos screensaver site. The campaign has come under fire from some corners of the web. Many discussion groups have said that it set a dangerous precedent and could incite vigilantism. ""Attacking a spammer's website is like poking a grizzly bear sleeping in your back garden with a pointy stick,"" said Graham Cluley, senior technology consultant for Sophos. ""Not only is this screensaver similar in its approach to a potentially illegal distributed denial of service attack, but it also is in danger of turning innocent computer users into vigilantes, who may not be prepared for whatever retaliation the spammers care to dream up.""
",tech
"UK Coal plunges into deeper loss
 
 Shares in UK Coal have fallen after the mining group reported losses had deepened to £51.6m in 2004 from £1.2m.
 
 The UK's biggest coal producer blamed geological problems, industrial action and ""operating flaws"" at its deep mines for its worsening fortunes. The South Yorkshire company, led by new chief executive Gerry Spindler, said it hoped to return to profit in 2006. In early trade on Thursday, its shares were down 10% at 119 pence. UK Coal said it was making ""significant progress"" in shaking up the business. It had introduced new wage structures, a new daily maintenance regime for machinery at its mines and methods to continue mining in adverse conditions. The company said these actions should ""significantly uplift earnings"". It expected 2005 to be a ""transitional year"" and to return to profitability in 2006.
 
 The recent rise in coal prices has failed to benefit the company as most of its output had already been sold, it said. Total production costs were £1.30 per gigajoule, UK Coal said, but the average selling price was just £1.18 per gigajoule. ""We have a long journey ahead to fix these issues. We continue to make progress and great strides have already been made,"" said Mr Spindler. UK Coal operates 15 deep and surface mines across Nottinghamshire, Derbyshire, Leicestershire, Yorkshire, the West Midlands, Northumberland and Durham.
",business
"Lifestyle 'governs mobile choice'
 
 Faster, better or funkier hardware alone is not going to help phone firms sell more handsets, research suggests.
 
 Instead, phone firms keen to get more out of their customers should not just be pushing the technology for its own sake. Consumers are far more interested in how handsets fit in with their lifestyle than they are in screen size, onboard memory or the chip inside, shows an in-depth study by handset maker Ericsson. ""Historically in the industry there has been too much focus on using technology,"" said Dr Michael Bjorn, senior advisor on mobile media at Ericsson's consumer and enterprise lab. ""We have to stop saying that these technologies will change their lives,"" he said. ""We should try to speak to consumers in their own language and help them see how it fits in with what they are doing,"" he told the BBC News website.
 
 For the study, Ericsson interviewed 14,000 mobile phone owners on the ways they use their phone. ""People's habits remain the same,"" said Dr Bjorn. ""They just move the activity into the mobile phone as it's a much more convenient way to do it.""
 
 One good example of this was diary-writing among younger people, he said. While diaries have always been popular, a mobile phone -- especially one equipped with a camera -- helps them keep it in a different form. Youngsters' use of text messages also reflects their desire to chat and keep in contact with friends and again just lets them do it in a slightly changed way. Dr Bjorn said that although consumers do what they always did but use a phone to do it, the sheer variety of what the new handset technologies make possible does gradually drive new habits and lifestyles. Ericsson's research has shown that consumers divide into different ""tribes"" that use phones in different ways. Dr Bjorn said groups dubbed ""pioneers"" and ""materialists"" were most interested in trying new things and were behind the start of many trends in phone use. ""For instance,"" he said, ""older people are using SMS much more than they did five years ago."" This was because younger users, often the children of ageing mobile owners, encouraged older people to try it so they could keep in touch.
 
 Another factor governing the speed of change in mobile phone use was the simple speed with which new devices are bought by pioneers and materialists. Only when about 25% of people have handsets with new innovations on them, such as cameras, can consumers stop worrying that if they send a picture message the person at the other end will be able to see it.
 
 Once this significant number of users is passed, use of new innovations tends to take off. Dr Bjorn said that early reports of camera phone usage in Japan seemed to imply that the innovation was going to be a flop. However, he said, now 45% of the Japanese people Ericsson questioned use their camera phone at least once a month. In 2003 the figure was 29%. Similarly, across Europe the numbers of people taking snaps with cameras is starting to rise. In 2003 only 4% of the people in the UK took a phonecam snap at least once a month. Now the figure is 14%. Similar rises have been seen in many other European nations. Dr Bjorn said that people also used their camera phones in very different ways to film and even digital cameras. ""Usage patterns for digital cameras are almost exactly replacing usage patterns for analogue cameras,"" he said. Digital cameras tend to be used on significant events such as weddings, holidays and birthdays. By contrast, he said, camera phones were being used much more to capture a moment and were being woven into everyday life.
",tech
"Japanese mogul arrested for fraud
 
 One of Japan's best-known businessmen was arrested on Thursday on charges of falsifying shareholder information and selling shares based on the false data.
 
 Yoshiaki Tsutsumi was once ranked as the world's richest man and ran a business spanning hotels, railways, construction and a baseball team. His is the latest in a series of arrests of top executives in Japan over business scandals. He was taken away in a van outside one of his Prince hotels in Tokyo.
 
 There was a time when Mr Tsutsumi seemed untouchable. Inheriting a large property business from his father in the 1960s, he became one of Japan's most powerful industrialists, with close connections to many of the country's leading politicians. He used his wealth and influence to bring the Winter Olympic Games to Nagano in 1998. But last year, he was forced to resign from all the posts he held in his business empire, after being accused of falsifying the share-ownership structure of Seibu Railways, one of his companies. Under Japanese stock market rules, no listed company can be more than 80% owned by its 10 largest shareholders. Now Mr Tsutsumi faces criminal charges and the possibility of a prison sentence because he made it look as if the 10 biggest shareholders owned less than this amount. Seibu Railways has been delisted from the stock exchange, its share value has plunged and it is the target of a takeover bid.
 
 Mr Tsutsumi's fall from grace follows the arrests of several other top executives in Japan as the authorities try to curb the murky business practices which were once widespread in Japanese companies. His determination to stay at the top at all costs may have had its roots in his childhood. The illegitimate third son of a rich father, who made his money buying up property as Japan rebuilt after World War II, he has described the demands his father made. ""I felt enormous pressure when I dined with him and it was nothing but pain,"" Tsutsumi told a weekly magazine in 1987. ""He scolded me for pouring too much soy sauce or told me fruit was not for children. He didn't let me use the silk futon, saying it's a luxury."" There have been corporate governance issues at some other Japanese companies too. Last year, twelve managers from Mitsubishi Motors were charged with covering up safety defects in their vehicles and three executives from Japan's troubled UFJ bank were charged with concealing the extent of the bank's bad loans.
",business
"O'Driscoll/Gregan lead Aid stars
 
 Ireland's Brian O'Driscoll will lead the Northern Hemisphere team in the IRB Rugby Aid match at Twickenham.
 
 O'Driscoll heads a star-studded cast for the contest to raise funds for the tsunami appeal. The South will be led by George Gregan, one of four Wallabies, alongside five Springboks and four All Blacks including captain Tana Umaga. South African flanker Schalk Burger has shaken off a leg injury to take his place in the starting line-up. He will join fellow Springboks John Smit, Cobus Visagie and Victor Matfield in the South pack, with Jacque Fourie among the centres. The North side have been hit by the withdrawals of Scotland duo Gordon Bulloch and Chris Cusiter, plus France captain Fabien Pelous.
 
 But Leicester's England centre Ollie Smith has been added to the squad, giving him an opportunity to impress Lions coach Sir Clive Woodward, who takes charge of the North side. ""I think it's fantastic for Ollie,"" Tigers coach John Wells told BBC Radio Leicester. ""He was probably going to have the weekend off this week and I hope Clive gets the chance to see the qualities that Leicester and England have been seeing all year."" Woodward will also assess other potential Lions candidates such as Scotland pair Simon Taylor and Chris Paterson, Wales scrum-half Dwayne Peel and Ireland lock Paul O'Connell. ""I'm looking forward to working with such outstanding players,"" Woodward said. ""Both teams are fielding top-quality sides and I really hope that the rugby public and community get behind this game to raise as much money as possible for such a deserving cause."" Despite the withdrawal of Wales wing Rhys Williams, who is required for the Blues' Celtic League match with Munster, three other members of their Six Nations squad - Ceri Sweeney, John Yapp and Jonathan Thomas - will also play. ""Not only it is for a good cause but it gives these players the opportunity to play with and against some of the best players in the world,"" said WRU general manager Steve Lewis. Supporters can watch the teams train for free at Twickenham on Friday, 4 March. Woodward will put his North team through their paces at 1030 GMT, with the South side, coached by former Wallabies coach Rod Macqueen, due at the stadium at 1330.
 
 C Paterson (Scotland), B Cohen (England), B O'Driscoll (Ireland, capt), D Traille (France), O Smith (England), C Sweeney (Wales), D Humphreys (Ireland), D Peel (Wales); A Lo Cicero (Italy), P de Villiers (France), J Yapp (Wales), R Ibanez (France), P O'Connell (Ireland), M Bortolami (Italy), J Thomas (Wales), S Taylor (Scotland), L Dallaglio (England), S Parisse (Italy), Others to be added.
 
 C Latham (Australia); B Lima (Samoa), J Fourie (SA) T Umaga (New Zealand), S Bobo (Fiji); A Mehrtens (NZ) G Gregan (Aus, capt); C Hoeft (NZ), J Smit (SA), C Visagie (SA), S Maling (NZ), V Matfield (SA), S Burger (SA), P Waugh (Aus), T Kefu (Aus).
 
 E Taukafa (Tonga), E Guinazu (Argentina), S Sititi (Samoa), O Palepoi (Samoa), M Rauluni (Fiji), T Delport (SA), A N Other.
",sport
